,date,max_temp
23044,2022-08-17,36.8
23045,2022-08-18,38.0
23046,2022-08-19,36.0
23047,2022-08-20,32.7
23048,2022-08-21,34.7
23049,2022-08-22,35.1
23050,2022-08-23,36.5
23051,2022-08-24,37.4
23052,2022-08-25,34.9
23053,2022-08-26,37.1
23054,2022-08-27,37.4
23055,2022-08-28,35.5
23056,2022-08-29,36.4
23057,2022-08-30,36.5
23058,2022-08-31,37.1
187506,2022-09-01,34.7
187507,2022-09-02,36.6
187508,2022-09-03,35.3
187509,2022-09-04,36.8
187510,2022-09-05,36.5
187511,2022-09-06,38.5
187512,2022-09-07,35.8
187513,2022-09-08,33.1
187514,2022-09-09,32.9
187515,2022-09-10,32.4
187516,2022-09-11,30.9
187517,2022-09-12,30.7
187518,2022-09-13,32.2
187519,2022-09-14,32.9
187520,2022-09-15,32.9
187521,2022-09-16,35.7
187522,2022-09-17,35.5
187523,2022-09-18,34.6
187524,2022-09-19,34.1
187525,2022-09-20,30.4
187526,2022-09-21,30.5
187527,2022-09-22,35.6
187528,2022-09-23,31.6
187529,2022-09-24,34.2
187530,2022-09-25,36.1
187531,2022-09-26,36.7
187532,2022-09-27,34.8
187533,2022-09-28,37.3
187534,2022-09-29,33.7
187535,2022-09-30,34.0
169260,2022-10-01,34.3
169261,2022-10-02,33.0
169262,2022-10-03,34.8
169263,2022-10-04,33.3
169264,2022-10-05,32.8
169265,2022-10-06,34.5
169266,2022-10-07,31.1
169267,2022-10-08,31.8
169268,2022-10-09,34.3
169269,2022-10-10,32.2
169270,2022-10-11,30.4
169271,2022-10-12,33.9
169272,2022-10-13,33.8
169273,2022-10-14,37.0
169274,2022-10-15,32.6
169275,2022-10-16,28.8
169276,2022-10-17,34.4
169277,2022-10-18,34.7
169278,2022-10-19,34.8
169279,2022-10-20,34.1
169280,2022-10-21,34.7
169281,2022-10-22,34.4
169282,2022-10-23,35.0
169283,2022-10-24,35.4
169284,2022-10-25,34.8
169285,2022-10-26,36.4
169286,2022-10-27,37.1
169287,2022-10-28,34.6
169288,2022-10-29,34.7
169289,2022-10-30,34.9
169290,2022-10-31,34.8
163124,2022-11-16,34.3
41442,2022-12-01,33.2
41443,2022-12-02,34.8
41444,2022-12-03,34.7
41445,2022-12-04,34.4
41446,2022-12-05,33.7
41447,2022-12-06,33.0
41448,2022-12-07,33.2
41449,2022-12-08,33.0
41450,2022-12-09,33.0
41451,2022-12-10,27.9
41452,2022-12-11,30.6
41453,2022-12-12,33.0
41454,2022-12-13,33.0
41455,2022-12-14,33.0
41456,2022-12-15,35.1
41457,2022-12-16,33.8
41458,2022-12-17,34.9
41459,2022-12-18,34.2
41460,2022-12-19,33.0
41461,2022-12-20,32.8
41462,2022-12-21,34.3
41463,2022-12-22,32.9
41464,2022-12-23,34.5
41465,2022-12-24,34.8
41466,2022-12-25,34.4
41467,2022-12-26,33.7
41468,2022-12-27,33.5
41469,2022-12-28,34.1
41470,2022-12-29,36.6
41471,2022-12-30,34.1
41472,2022-12-31,36.7
