,ds,0
0,2022-01-31,81.7220230102539
1,2022-02-28,88.61024975776674
2,2022-03-31,48.98529013991356
3,2022-04-30,60.493737161159515
4,2022-05-31,20.702536463737488
5,2022-06-30,68.79086589813232
6,2022-07-31,82.34322047233582
7,2022-08-31,65.13236176967621
8,2022-09-30,59.42014491558075
9,2022-10-31,100.4078495502472
10,2022-11-30,55.02551871538162
11,2022-12-31,67.86335051059723
12,2023-01-31,82.05080890655518
13,2023-02-28,89.70562529563905
14,2023-03-31,49.5302072763443
15,2023-04-30,61.503960967063904
16,2023-05-31,21.238812506198883
17,2023-06-30,69.20160043239594
18,2023-07-31,82.92169499397278
19,2023-08-31,66.24374401569366
20,2023-09-30,59.57810539007187
21,2023-10-31,101.3682270050049
22,2023-11-30,55.76473122835159
23,2023-12-31,68.55442774295807
