,ds,0
0,2022-01-31,102.4142760038376
1,2022-02-28,104.16389989852907
2,2022-03-31,83.08185040950777
3,2022-04-30,101.37545788288118
4,2022-05-31,127.53895807266237
5,2022-06-30,67.37407910823822
6,2022-07-31,172.78665113449097
7,2022-08-31,164.31008458137512
8,2022-09-30,102.45927524566652
9,2022-10-31,150.53815937042236
10,2022-11-30,164.8596806526184
11,2022-12-31,70.39968419075012
12,2023-01-31,98.52706491947175
13,2023-02-28,101.03969538211824
14,2023-03-31,79.64053118228914
15,2023-04-30,97.59382927417757
16,2023-05-31,124.39836525917055
17,2023-06-30,63.97985589504242
18,2023-07-31,168.3432514667511
19,2023-08-31,161.761869430542
20,2023-09-30,98.9517984390259
21,2023-10-31,146.62188172340393
22,2023-11-30,161.90113973617554
23,2023-12-31,67.43295609951019
