,Date,AQI
186,11/06/2021,83.10824145
187,12/06/2021,81.5275224
188,13/06/2021,79.26818644
189,14/06/2021,82.5834784
190,15/06/2021,76.83107232
191,16/06/2021,79.42721297
192,17/06/2021,78.87303331
193,18/06/2021,80.35605215
194,19/06/2021,78.80249631
195,20/06/2021,76.57388211
196,21/06/2021,79.92338513
197,22/06/2021,74.20861547
198,23/06/2021,76.84575931
199,24/06/2021,76.33585905
200,25/06/2021,77.8663376
201,26/06/2021,76.36334189
202,27/06/2021,74.18829766
203,28/06/2021,77.59426863
204,29/06/2021,71.93876368
205,30/06/2021,74.63784647
206,01/07/2021,74.19244752
207,02/07/2021,75.78988855
208,03/07/2021,74.35616729
209,04/07/2021,72.25257632
210,05/07/2021,75.73206217
211,06/07/2021,70.15201119
212,07/07/2021,72.92833254
213,08/07/2021,72.56182891
214,09/07/2021,74.23965686
215,10/07/2021,72.88770758
216,11/07/2021,70.86711918
217,12/07/2021,74.43068367
218,13/07/2021,68.93564359
219,14/07/2021,71.79778025
220,15/07/2021,71.51772586
221,16/07/2021,73.28253575
222,17/07/2021,72.01790937
223,18/07/2021,70.08487292
224,19/07/2021,73.73607461
225,20/07/2021,68.32862378
226,21/07/2021,71.27814726
227,22/07/2021,71.08516537
228,23/07/2021,72.93658965
229,24/07/2021,71.75800764
230,25/07/2021,69.91030705
231,26/07/2021,73.64602954
232,27/07/2021,68.32215127
233,28/07/2021,71.35419787
234,29/07/2021,71.24258843
235,30/07/2021,73.17412262
236,31/07/2021,72.07429209
237,01/08/2021,70.30389399
238,02/08/2021,74.1153741
239,03/08/2021,68.86563399
240,04/08/2021,71.97013003
241,05/08/2021,71.92918544
242,06/08/2021,73.92955192
243,07/08/2021,72.89665189
244,08/08/2021,71.19123456
245,09/08/2021,75.06569774
246,10/08/2021,69.8769004
247,11/08/2021,73.04025096
248,12/08/2021,73.05605666
249,13/08/2021,75.11103724
250,14/08/2021,74.13058848
251,15/08/2021,72.47544893
252,16/08/2021,76.39802174
253,17/08/2021,71.25514989
254,18/08/2021,74.46224713
255,19/08/2021,74.519642
256,20/08/2021,76.61404894
257,21/08/2021,75.67091164
258,22/08/2021,74.05096867
259,23/08/2021,78.00664981
260,24/08/2021,72.89484066
261,25/08/2021,76.13100291
262,26/08/2021,76.2155024
263,27/08/2021,78.33509085
264,28/08/2021,77.41527588
265,29/08/2021,75.81684933
266,30/08/2021,79.7923049
267,31/08/2021,74.69857083
268,01/09/2021,77.95119935
269,02/09/2021,78.05058827
270,03/09/2021,80.18359584
271,04/09/2021,79.27577765
272,05/09/2021,77.68801608
273,06/09/2021,81.67285279
274,07/09/2021,76.5873332
275,08/09/2021,79.84705218
276,09/09/2021,79.95250874
277,10/09/2021,82.09061974
278,11/09/2021,81.18703664
279,12/09/2021,79.60270577
280,13/09/2021,83.59027532
281,14/09/2021,78.50683332
282,15/09/2021,81.76806521
283,16/09/2021,81.87454459
284,17/09/2021,84.01328419
285,18/09/2021,83.10997811
286,19/09/2021,81.52565789
287,20/09/2021,85.51303034
288,21/09/2021,80.42925806
289,22/09/2021,83.69008508
290,23/09/2021,83.7961596
291,24/09/2021,85.93452097
292,25/09/2021,85.0309432
293,26/09/2021,83.44648448
294,27/09/2021,87.43392617
295,28/09/2021,82.35045754
296,29/09/2021,85.61186523
297,30/09/2021,85.71883471
298,01/10/2021,87.85842665
